support,user,created_at
no,lega_nord,2016-11-27T19:00
no,renatapolverini,2016-11-28T18:00
yes,CarloSantaroni,2016-11-28T22:00
no,iovotono,2016-11-26T20:00
no,forza_italia,2016-11-29T09:00
yes,danieledvpd,2016-11-30T09:00
no,MassimoLeaderPD,2016-11-29T12:00
yes,SenatoriPD,2016-12-01T16:00
no,matteosalvinimi,2016-12-02T08:00
yes,ErasmoDAngelis,2016-11-26T22:00
no,gasparripdl,2016-12-01T15:00
no,GiorgiaMeloni,2016-12-01T13:00
yes,enrico_zanetti,2016-11-27T14:00
yes,AntoDiMario,2016-11-27T09:00
no,lega_nord,2016-11-27T19:00
yes,Deputatipd,2016-11-29T14:00
no,forza_italia,2016-11-28T14:00
yes,FrancescoBonif1,2016-11-28T21:00
no,gasparripdl,2016-12-01T10:00
yes,SenatoriPD,2016-11-27T15:00
no,giamma71,2016-11-30T13:00
no,LelloEsposito5,2016-11-29T09:00
yes,pdcampania,2016-11-28T22:00
yes,pdnetwork,2016-12-01T23:00
no,gasparripdl,2016-12-01T10:00
yes,Deputatipd,2016-11-30T00:00
no,beppe_grillo,2016-12-01T10:00
yes,LauraPuppato,2016-12-02T10:00
yes,antgentile,2016-11-29T18:00
yes,sbonaccini,2016-12-01T16:00
no,M_Fedriga,2016-11-28T17:00
no,renatobrunetta,2016-11-28T12:00
no,iovotono,2016-12-01T13:00
no,lega_nord,2016-11-29T10:00
yes,MarcoMariani_IT,2016-11-30T21:00
no,IlMattinale,2016-11-27T11:00
yes,ElisabScalambra,2016-11-30T21:00
yes,Deputatipd,2016-12-02T13:00
no,gasparripdl,2016-12-01T22:00
yes,stefaniapezzopa,2016-12-02T00:00
yes,RaffaelePizzati,2016-12-01T01:00
yes,ElisabScalambra,2016-11-29T11:00
no,lega_nord,2016-11-30T18:00
no,lega_nord,2016-11-29T12:00
yes,valeriafedeli,2016-11-29T10:00
no,LeolucaOrlando1,2016-12-01T17:00
yes,enrico_zanetti,2016-11-27T14:00
no,senantoniorazzi,2016-11-27T23:00
yes,ErasmoDAngelis,2016-11-29T18:00
no,LegaNordPadania,2016-11-26T21:00
yes,bragachiara,2016-11-29T11:00
no,LegaNordPadania,2016-11-27T17:00
yes,NenciniPsi,2016-12-01T15:00
yes,antgentile,2016-11-29T18:00
yes,StefanoCeccanti,2016-12-01T14:00
no,beppe_grillo,2016-12-01T10:00
no,lega_nord,2016-11-29T18:00
no,lega_nord,2016-11-30T18:00
no,F_DUva,2016-11-30T13:00
yes,angealfa,2016-12-01T09:00
no,lega_nord,2016-11-29T06:00
no,forza_italia,2016-11-30T17:00
no,LegaNordPadania,2016-11-28T23:00
yes,pdnetwork,2016-12-01T23:00
no,lega_nord,2016-11-29T06:00
yes,fabriziobarca,2016-11-28T12:00
yes,pdcampania,2016-11-28T22:00
no,forza_italia,2016-11-29T10:00
no,lega_nord,2016-11-29T06:00
yes,SenatoriPD,2016-12-01T16:00
no,iovotono,2016-11-28T10:00
no,giulianocossari,2016-11-29T10:00
no,antoniopalmieri,2016-12-01T17:00
yes,fnicodemo,2016-11-27T13:00
no,matteodallosso,2016-12-01T10:00
yes,SenatoriPD,2016-11-30T12:00
yes,SenatoriPD,2016-12-01T17:00
no,giulianocossari,2016-11-29T12:00
yes,SenatoriPD,2016-11-27T15:00
no,IlMattinale,2016-11-30T11:00
no,renatobrunetta,2016-11-30T11:00
yes,danieledvpd,2016-11-29T21:00
yes,MarinaSereni,2016-11-29T11:00
no,GruppoFICamera,2016-11-30T11:00
no,iovotono,2016-12-01T08:00
no,social_5stars,2016-11-29T11:00
yes,MarcoMariani_IT,2016-12-02T14:00
no,civati,2016-11-30T00:00
yes,danieledvpd,2016-12-01T22:00
yes,MarcoMariani_IT,2016-12-01T09:00
no,renatapolverini,2016-11-28T18:00
no,ElioLannutti,2016-11-30T17:00
yes,AnnaLeonardi1,2016-11-27T14:00
yes,AntoDiMario,2016-11-27T09:00
