term,cluster,support,number_of_tweets
referendaria,3,no,47
referendum,3,no,1213
referendumcostituzionale,3,no,329
regionale,3,no,48
regionali,3,no,59
regioni,3,no,99
regole,3,no,20
renatobrunetta,3,no,142
renzi,3,no,2113
renzipeggiodimonti,3,no,39
repubblica,3,no,83
resto,3,no,44
retweeted,3,no,103
riformacostituzionale,3,no,180
rinnovo,3,no,28
roma,3,no,322
rompe,3,no,23
rompiballe,3,no,20
rt,3,no,242
s,3,no,30
salute,3,no,22
salvare,3,no,57
san,3,no,71
santoro,3,no,30
sapere,3,no,44
sbagliata,3,no,28
scegliere,3,no,23
schaeuble,3,no,37
schauble,3,no,23
scheda,3,no,106
schiera,3,no,21
scompare,3,no,25
scrive,3,no,24
scuole,3,no,24
scusa,3,no,20
seconda,3,no,20
sede,3,no,20
segui,3,no,39
semplicemente,3,no,20
senantoniorazzi,3,no,116
senatore,3,no,39
senatori,3,no,178
sentire,3,no,27
sera,3,no,154
serve,3,no,80
serveunno,3,no,59
servizi,3,no,25
settembre,3,no,24
siena,3,no,40
sito,3,no,20
snelliamo,3,no,20
so,3,no,46
soli,3,no,20
sovrano,3,no,36
spaccato,3,no,20
speciale,3,no,31
speranza,3,no,31
sportelloindecisi,3,no,169
st,3,no,37
stabilita,3,no,22
stamattina,3,no,21
stare,3,no,41
stasera,3,no,125
statali,3,no,58
stavoltano,3,no,98
stipendi,3,no,27
storia,3,no,66
strada,3,no,28
stravolgere,3,no,26
streaming,3,no,54
succede,3,no,20
supremazia,3,no,20
tagli,3,no,31
taglia,3,no,31
tante,3,no,42
tasse,3,no,132
tav,3,no,47
teatro,3,no,25
tecnologiasolidale,3,no,46
terra,3,no,21
terremoto,3,no,40
testo,3,no,27
tgreferendum,3,no,28
tornare,3,no,28
tourdellasovranita,3,no,32
treno,3,no,40
trenotour,3,no,99
tv,3,no,502
tweet,3,no,37
ultima,3,no,32
ultime,3,no,45
ultimi,3,no,62
unire,3,no,27
unitixilno,3,no,21
unomattina,3,no,38
uomini,3,no,21
usa,3,no,39
v,3,no,22
vede,3,no,23
vediamo,3,no,41
venerdi,3,no,139
veneto,3,no,57
vera,3,no,37
veramente,3,no,20
video,3,no,182
vignetta,3,no,20
vincenzodeluca,3,no,21
vincere,3,no,81
vincolo,3,no,26
voce,3,no,35
volete,3,no,25
votano,3,no,79
votare,3,no,509
voteranno,3,no,27
voti,3,no,80
votiamo,3,no,111
voto,3,no,405
vs,3,no,25
vuoi,3,no,55
vuole,3,no,178
youtube,3,no,40
zaia,3,no,30
zampierichiara,3,no,22
zero,3,no,27
