iteration,support,n
-1,Neutral,21712
-1,No,6432
-1,Yes,2788
0,No,22018
0,Yes,8914
1,No,22359
1,Yes,8573
2,No,22704
2,Yes,8228
3,No,23210
3,Yes,7722
4,No,24331
4,Yes,6601
5,No,27635
5,Yes,3297
6,No,30932
7,No,30932
8,No,30932
9,No,30932
10,No,30932
11,No,30932
12,No,30932
13,No,30932
14,No,30932
15,No,30932
16,No,30932
