user,kpp_score
serracchiani,4859.0
mazzettam,4859.0
_Ballea5stelle,4859.0
coccodj,4859.0
Phastidio,4859.0
ckyenge,4859.0
AndreaOrlandosp,4859.0
AnnaLeonardi1,4859.0
gennaromigliore,4859.0
57_mimmo,4859.0
carloalberto,4859.0
VincenzoDeLuca,4859.0
Mix24_r24,4859.0
CosimoLatronico,4859.0
CorinziaMonfort,4859.0
karacaracciolo,4859.0
visit_lazio,4859.0
QuiMediaset_it,4859.0
corrini,4859.0
Serfiss,4859.0
bragachiara,4859.0
DarioBallini,4859.0
FaziEditore,4859.0
ruggierofilann4,4859.0
ermejo5,4859.0
SimoneCaricato,4859.0
Papryka5,4859.0
LucioLuci,4859.0
La27ora,4859.0
EnricoLetta,4859.0
luifam,4859.0
lucianonobili,4859.0
angealfa,4859.0
PillaPaladini,4859.0
mov19Luglio,4859.0
uambrosoli,4859.0
Cittadinireatti,4859.0
Miti_Vigliero,4859.0
SimonaVicari,4859.0
lauracesaretti1,4859.0
renzocrosa,4859.0
comuni_anci,4859.0
marcocobianchi,4859.0
maumartina,4859.0
_Carabinieri_,4859.0
Maurizio_Lupi,4859.0
limesonline,4859.0
deb8479eaeef410,4859.0
insiemebasta1si,4859.0
PMO_W,4859.0
alessiamosca,4859.0
MinisteroDifesa,4859.0
BiancofioreMiky,4859.0
Agenzia_Italia,4859.0
PietroGrasso,4859.0
Sm4rtlio,4859.0
Paolo_Foschi,4859.0
ChicoForti_Free,4859.0
FraBonomo,4859.0
cristinafavati,4859.0
bastaunsi,4859.0
Lcungi,4859.0
graziano_delrio,4859.0
flaviozanonato,4859.0
CarlaGhizzani,4859.0
AndreaLaudadio,4859.0
amariMarisa,4859.0
Radio24_news,4859.0
luigideluca_vf,4859.0
michelelizzi,4859.0
QuintaColonnaTv,4859.0
Rita27546,4859.0
GilardiNad,4859.0
luisorel,4859.0
TempiReali,4859.0
LuciGuenz,4859.0
CarloDelSante,4859.0
Nonciclopedia,4859.0
simoni_elisa,4859.0
FrancescaCose,4859.0
leonidafem,4859.0
Gauro5,4859.0
giusyoni,4859.0
OronzoCanaOff,4859.0
barba_emme,4859.0
EnricoBorghi1,4859.0
roderiu,4859.0
_Dom_Man_,4859.0
Antonio_Decaro,4859.0
insopportabile,4859.0
sulcismassi,4859.0
unavitadacinema,4859.0
mimmomazzei,4859.0
StefanoRocca9,4859.0
MaximilianDolce,4859.0
BaldiDario,4859.0
il_Fabio988,4859.0
GiusMelillo,4859.0
vannisantoni,4859.0
elisacalessi,4859.0
REN1pz,4859.0
DarioParrini,4859.0
RivistaStudio,4859.0
enzo_salvi,4859.0
ricpuglisi,4859.0
nunziapenelope,4859.0
SenatoriPD,4859.0
chedisagio,4859.0
camillafabbripd,4859.0
AntFuniciello,4859.0
sandrogozi,4859.0
LuigiPiccarozzi,4859.0
shaunabracco,4859.0
matteo_delve83,4859.0
GioMelandri,4859.0
mdpennalunga,4859.0
giodiamanti,4859.0
Cesare_Damiano,4859.0
PoliticaPerJedi,4859.0
PaolaForte23,4859.0
MarcoMeloni,4859.0
pasquino2000,4859.0
SiRiforma,4859.0
MassimoCorsaro,4859.0
piccolocafenyc,4859.0
LucaTentoni1,4859.0
emilnaca,4859.0
Giusva82,4859.0
EugenioCardi,4859.0
agomariagreco,4859.0
GavinoPala1,4859.0
dylettama,4859.0
LAristopazzo,4859.0
ragazziitalia,4859.0
c_briguglio,4859.0
Agenzia_Dire,4859.0
erealacci,4859.0
RadioRadicale,4859.0
paolo_cova,4859.0
RepubblicaAF,4859.0
ti_rossan,4859.0
Daniele_Manca,4859.0
bendellavedova,4859.0
GiampaoloScopa,4859.0
flower___,4859.0
fedquattrocchi,4859.0
massimomarini,4859.0
cimedira,4859.0
TizianaGl60,4859.0
lorenzabo,4859.0
Legambiente,4859.0
leandro07343658,4859.0
gualtierieurope,4859.0
AntoDiMario,4859.0
StefanoCeccanti,4859.0
openpolitica,4859.0
buzzico,4859.0
pietroraffa,4859.0
crialicata,4859.0
7novembre2015,4859.0
RobertoMinerdo,4859.0
ghegola,4859.0
AMARANTINE5,4859.0
ValeriaValente_,4859.0
OmnibusLa7,4859.0
flavagno,4859.0
LiaQuartapelle,4859.0
matteoricci,4859.0
CoCoCoDM66_2001,4859.0
lauraboldrini,4859.0
Geopoliticainfo,4859.0
MagdaZanonii,4859.0
BeppeGiulietti,4859.0
Massimo_Caleo,4859.0
rudyfc,4859.0
SIAE_Official,4859.0
raffaellapaita,4859.0
MaranAlessandro,4859.0
TognazziR,4859.0
GianluSaccomani,4859.0
BarbaraCerutti,4859.0
FioriAndreetta,4859.0
RobinG00d,4859.0
Avantionline,4859.0
UniLUISS,4859.0
AngeloRughetti,4859.0
RaffaCaterino91,4859.0
gabriellacoron,4859.0
Indios007,4859.0
ernestocarbone,4859.0
tipiti54,4859.0
martaserafini,4859.0
JTelmont,4859.0
ezekiel,4859.0
OGiannino,4859.0
ElenaBaloi,4859.0
fabriziobarca,4859.0
BettaPiccolotti,4859.0
antoniorampinel,4859.0
AgnoMarco,4859.0
megasabgio,4859.0
GiovaValentini,4859.0
Blutarsky72,4859.0
Briatore,4859.0
Animalisti_FVG,4859.0
PolettiGiuliano,4859.0
sergioragone,4859.0
KhalidChaouki3,4859.0
LucillaMiss,4859.0
michelelan,4859.0
mariellarosati,4859.0
rossipresidente,4859.0
VikyBorgomeo,4859.0
noisiamoilpd,4859.0
DanielaCantele,4859.0
VeloSilvia,4859.0
CarloCalenda,4859.0
ErasmoDAngelis,4859.0
MarinaSereni,4859.0
AleMiglioz,4859.0
ConteZero76,4859.0
ederoclite,4859.0
MilaSpicola,4859.0
GiadaFazzalari,4859.0
davidealgebris,4859.0
mgcorrias,4859.0
conmatteorenzi,4859.0
GiampaoloGalli,4859.0
mrctrdsh,4859.0
MiurSocial,4859.0
RegioneER,4859.0
gentilivero,4859.0
Trelune,4859.0
CovelloStefania,4859.0
GrecOfficial,4859.0
nedopaglianti,4859.0
gdnazionale,4859.0
nicoceccarini,4859.0
DossiCarla,4859.0
christianrocca,4859.0
giusev76,4859.0
FilcaCisl,4859.0
SamueleDegradi,4859.0
AlRobecchi,4859.0
Jumpingmalefrog,4859.0
_Barfolomew_,4859.0
1giornodapecora,4859.0
laura_palomba,4859.0
futuredem,4859.0
betman,4859.0
avvocato2punto0,4859.0
SergioLoGiudice,4859.0
danieletonini1,4859.0
enzocarnazza,4859.0
UlrikeMeinhof1,4859.0
Labbufala,4859.0
Carboni_UglPP,4859.0
TV2000it,4859.0
danielecina,4859.0
alfredoferrante,4859.0
sarabattaglia_7,4859.0
Arturo_Scotto,4859.0
tiramatti,4859.0
Ettore_Rosato,4859.0
